Date,Energy,Unemploy,Approval,rmn1173,rmn1173a,grf0175,grf575,grf575a,jec477,jec1177,jec479,grf0175s,jec479s,jec477s,freeze1,freeze2,embargo,hostages,oilc
Jan-69,2,3.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8
Feb-69,6,3.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9
Mar-69,11,3.4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5
Apr-69,5,3.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2
May-69,0,3.4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Jun-69,3,3.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Jul-69,6,3.5,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Aug-69,6,3.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7
Sep-69,22,3.7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6
Oct-69,5,3.7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9
Nov-69,8,3.5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9
Dec-69,13,3.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7
Jan-70,9,3.9,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2
Feb-70,11,4.2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8
Mar-70,8,4.4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9
Apr-70,6,4.6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9
May-70,4,4.8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Jun-70,4,4.9,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5
Jul-70,5,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1
Aug-70,3,5.1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Sep-70,4,5.4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Oct-70,1,5.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7
Nov-70,3,5.9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7
Dec-70,23,6.1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5
Jan-71,14,5.9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8
Feb-71,22,5.9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9
Mar-71,9,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6
Apr-71,2,5.9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4
May-71,4,5.9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9
Jun-71,7,5.9,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6
Jul-71,5,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4
Aug-71,1,6.1,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37
Sep-71,7,6,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.4
Oct-71,6,5.8,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.1
Nov-71,6,6,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.1
Dec-71,6,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2
Jan-72,8,5.8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6
Feb-72,3,5.7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6
Mar-72,5,5.8,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6
Apr-72,5,5.7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3
May-72,4,5.7,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6
Jun-72,2,5.7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8
Jul-72,9,5.6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7
Aug-72,7,5.6,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5
Sep-72,6,5.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7
Oct-72,1,5.6,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2
Nov-72,0,5.3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1
Dec-72,7,5.2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5
Jan-73,20,4.9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Feb-73,14,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8
Mar-73,8,4.9,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7
Apr-73,22,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8
May-73,30,4.9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4
Jun-73,61,4.9,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.6
Jul-73,22,4.8,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38.4
Aug-73,33,4.8,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8
Sep-73,65,4.8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6
Oct-73,44,4.6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.1
Nov-73,225,4.8,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38
Dec-73,223,4.9,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37.4
