Approve,survey_house,end_date,sample_subpopulation,observations,mode
0.37,Gallup,9/14/2017,Adults,1500,Live Phone
0.43,Rasmussen,9/14/2017,Likely Voters,1500,IVR/Online
0.43,SurveyMonkey,9/14/2017,Adults,16343,Internet
0.39,Marist,9/13/2017,Adults,1224,Live Phone
0.37,Gallup,9/13/2017,Adults,1500,Live Phone
0.44,Rasmussen,9/13/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,9/12/2017,Adults,1500,Live Phone
0.39,YouGov/Economist,9/12/2017,Adults,1500,Internet
0.42,Rasmussen,9/12/2017,Likely Voters,1500,IVR/Online
0.35,Ipsos/Reuters,9/12/2017,Adults,1669,Internet
0.37,Gallup,9/11/2017,Adults,1500,Live Phone
0.42,Politico/Morning Consult,9/11/2017,Registered Voters,1976,Internet
0.44,Rasmussen,9/11/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,9/10/2017,Adults,1500,Live Phone
0.44,Rasmussen,9/10/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,9/9/2017,Adults,1500,Live Phone
0.38,Gallup,9/8/2017,Adults,1500,Live Phone
0.36,Gallup,9/7/2017,Adults,1500,Live Phone
0.46,Rasmussen,9/7/2017,Likely Voters,1500,IVR/Online
0.4,SurveyMonkey,9/7/2017,Adults,13443,Internet
0.36,Gallup,9/6/2017,Adults,1500,Live Phone
0.45,Rasmussen,9/6/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,9/5/2017,Adults,1500,Internet
0.37,Gallup,9/5/2017,Adults,1500,Live Phone
0.45,Rasmussen,9/5/2017,Likely Voters,1500,IVR/Online
0.4,Ipsos/Reuters,9/5/2017,Adults,1767,Internet
0.37,Gallup,9/4/2017,Adults,1500,Live Phone
0.44,Rasmussen,9/4/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,9/3/2017,Adults,1500,Live Phone
0.43,Politico/Morning Consult,9/3/2017,Registered Voters,1993,Internet
0.43,Rasmussen,9/3/2017,Likely Voters,1500,IVR/Online
0.36,Gallup,9/2/2017,Adults,1500,Live Phone
0.34,Gallup,9/1/2017,Adults,1500,Live Phone
0.34,Gallup,8/31/2017,Adults,1500,Live Phone
0.42,Rasmussen,8/31/2017,Likely Voters,1500,IVR/Online
0.4,SurveyMonkey,8/31/2017,Adults,12032,Internet
0.34,Gallup,8/30/2017,Adults,1500,Live Phone
0.41,Rasmussen,8/30/2017,Likely Voters,1500,IVR/Online
0.41,FOX,8/29/2017,Registered Voters,1006,Live Phone
0.35,Gallup,8/29/2017,Adults,1500,Live Phone
0.38,YouGov/Economist,8/29/2017,Adults,1500,Internet
0.41,Rasmussen,8/29/2017,Likely Voters,1500,IVR/Online
0.37,Ipsos/Reuters,8/29/2017,Adults,1767,Internet
0.35,Gallup,8/28/2017,Adults,1500,Live Phone
0.4,Politico/Morning Consult,8/28/2017,Registered Voters,1999,Internet
0.41,Rasmussen,8/28/2017,Likely Voters,1500,IVR/Online
0.35,Gallup,8/27/2017,Adults,1500,Live Phone
0.42,Rasmussen,8/27/2017,Likely Voters,1500,IVR/Online
0.35,Gallup,8/26/2017,Adults,1500,Live Phone
0.35,Gallup,8/25/2017,Adults,1500,Live Phone
0.39,SurveyMonkey,8/24/2017,Adults,9172,Internet
0.34,Gallup,8/24/2017,Adults,1500,Live Phone
0.42,Rasmussen,8/24/2017,Likely Voters,1500,IVR/Online
0.34,Gallup,8/23/2017,Adults,1500,Live Phone
0.42,Rasmussen,8/23/2017,Likely Voters,1500,IVR/Online
0.39,YouGov/Economist,8/22/2017,Adults,1500,Internet
0.35,Gallup,8/22/2017,Adults,1500,Live Phone
0.41,Rasmussen,8/22/2017,Likely Voters,1500,IVR/Online
0.36,Ipsos/Reuters,8/22/2017,Adults,2744,Internet
0.43,Harris/Harvard,8/22/2017,Registered Voters,2263,Internet
0.35,Quinnipiac,8/22/2017,Registered Voters,1514,Live Phone
0.35,Gallup,8/21/2017,Adults,1500,Live Phone
0.4,PPP (D),8/21/2017,Likely Voters,887,IVR/Online
0.43,Rasmussen,8/21/2017,Likely Voters,1500,IVR/Online
0.35,Gallup,8/20/2017,Adults,1500,Live Phone
0.37,ABC/Post,8/20/2017,Adults,1001,Live Phone
0.42,Rasmussen,8/20/2017,Likely Voters,1500,IVR/Online
0.39,Politico/Morning Consult,8/19/2017,Registered Voters,1987,Internet
0.36,Gallup,8/19/2017,Adults,1500,Live Phone
0.37,Gallup,8/18/2017,Adults,1500,Live Phone
0.38,Gallup,8/17/2017,Adults,1500,Live Phone
0.42,Rasmussen,8/17/2017,Likely Voters,1500,IVR/Online
0.42,GWU/Battleground,8/17/2017,Registered Voters,1000,Live Phone
0.4,SurveyMonkey,8/17/2017,Adults,14805,Internet
0.37,Gallup,8/16/2017,Adults,1500,Live Phone
0.4,Rasmussen,8/16/2017,Likely Voters,1500,IVR/Online
0.35,NPR/PBS NewsHour/Marist,8/15/2017,Adults,1125,Live Phone
0.39,YouGov/Economist,8/15/2017,Adults,1500,Internet
0.36,Gallup,8/15/2017,Adults,1500,Live Phone
0.4,Rasmussen,8/15/2017,Likely Voters,1500,IVR/Online
0.35,Ipsos/Reuters,8/15/2017,Adults,1587,Internet
0.39,Quinnipiac,8/15/2017,Registered Voters,1361,Live Phone
0.36,Gallup,8/14/2017,Adults,1500,Live Phone
0.44,Politico/Morning Consult,8/14/2017,Registered Voters,1997,Internet
0.41,Monmouth University,8/14/2017,Adults,805,Live Phone
0.42,Rasmussen,8/14/2017,Likely Voters,1500,IVR/Online
0.34,Gallup,8/13/2017,Adults,1500,Live Phone
0.43,Rasmussen,8/13/2017,Likely Voters,1500,IVR/Online
0.36,Gallup,8/12/2017,Adults,1500,Live Phone
0.35,Marist,8/12/2017,Adults,1009,Live Phone
0.37,Gallup,8/11/2017,Adults,1500,Live Phone
0.37,Gallup,8/10/2017,Adults,1500,Live Phone
0.45,Rasmussen,8/10/2017,Likely Voters,1500,IVR/Online
0.41,SurveyMonkey,8/10/2017,Adults,14103,Internet
0.36,Gallup,8/9/2017,Adults,1500,Live Phone
0.44,Rasmussen,8/9/2017,Likely Voters,1500,IVR/Online
0.4,NBC/WSJ,8/9/2017,Adults,1200,Live Phone
0.36,Gallup,8/8/2017,Adults,1500,Live Phone
0.37,YouGov/Economist,8/8/2017,Adults,1500,Internet
0.42,Rasmussen,8/8/2017,Likely Voters,1500,IVR/Online
0.37,Ipsos/Reuters,8/8/2017,Adults,1671,Internet
0.37,Gallup,8/7/2017,Adults,1500,Live Phone
0.41,Rasmussen,8/7/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,8/6/2017,Adults,1500,Live Phone
0.4,Politico/Morning Consult,8/6/2017,Registered Voters,1992,Internet
0.36,CBS,8/6/2017,Adults,111,Live Phone
0.38,CNN,8/6/2017,Adults,1018,Live Phone
0.41,Rasmussen,8/6/2017,Likely Voters,1500,IVR/Online
0.36,Kaiser FF,8/6/2017,Adults,1211,Live Phone
0.38,Gallup,8/5/2017,Adults,1500,Live Phone
0.37,Gallup,8/4/2017,Adults,1500,Live Phone
0.36,Gallup,8/3/2017,Adults,1500,Live Phone
0.39,Rasmussen,8/3/2017,Likely Voters,1500,IVR/Online
0.39,SurveyMonkey,8/3/2017,Adults,12173,Internet
0.36,Gallup,8/2/2017,Adults,1500,Live Phone
0.39,Rasmussen,8/2/2017,Likely Voters,1500,IVR/Online
0.37,YouGov/Economist,8/1/2017,Adults,1500,Internet
0.36,Gallup,8/1/2017,Adults,1500,Live Phone
0.38,Rasmussen,8/1/2017,Likely Voters,1500,IVR/Online
0.37,Ipsos/Reuters,8/1/2017,Adults,3130,Internet
0.33,Quinnipiac,8/1/2017,Registered Voters,1125,Live Phone
0.37,Gallup,7/31/2017,Adults,1500,Live Phone
0.39,Rasmussen,7/31/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,7/30/2017,Adults,1500,Live Phone
0.39,Rasmussen,7/30/2017,Likely Voters,1500,IVR/Online
0.43,Politico/Morning Consult,7/29/2017,Registered Voters,1972,Internet
0.38,Gallup,7/29/2017,Adults,1500,Live Phone
0.39,Gallup,7/28/2017,Adults,1500,Live Phone
0.39,Gallup,7/27/2017,Adults,1500,Live Phone
0.41,Rasmussen,7/27/2017,Likely Voters,1500,IVR/Online
